Name MGRS Lat(ddd_mm.mmm) Long(ddd_mm.mmm) Lat(ddd_mm_ss) Long(ddd_mm_ss)
SULAF 37SDT2325102035 33°27.300' 038°10.450' 33°27'18" 038°10'27"
SURUC 37SDB5910401997 37°03.800' 038°32.400' 37°03'48" 038°32'24"
SWIDA 37SBS7193522495 32°43.000' 036°34.000' 32°43'00" 036°34'00"
TARSU 36SXF3582554015 36°37.320' 034°31.140' 36°37'19" 034°31'08"
TIGER 36SYG3193316543 37°09.993' 035°36.729' 37°09'60" 035°36'44"
TIROS 36SXB2258385319 33°18.000' 034°19.000' 33°18'00" 034°19'00"
TOBAL 36SVC1912772666 34°05.500' 032°07.400' 34°05'30" 032°07'24"
TOSIE 36SYG3953516708 37°09.967' 035°41.864' 37°09'58" 035°41'52"
TUNLA 37SBV3269275059 35°53.000' 036°02.333' 35°52'60" 036°02'20"
TUSYR 37SCA5546657141 36°38.933' 037°22.983' 36°38'56" 037°22'59"
VADUS 36SVE1452306995 35°18.150' 032°03.590' 35°18'09" 032°03'35"
VELOX 36SXC0026042356 33°49.000' 034°05.000' 33°49'00" 034°04'60"
VESAR 36SWE9167875059 35°54.933' 034°00.967' 35°54'56" 034°00'58"
W.POINT 36SVD0430132158 34°37.611' 031°57.360' 34°37'37" 031°57'22"
WUNSO 36SYG2024201342 37°01.949' 035°28.569' 37°01'57" 035°28'34"
ZOPIL 36SYG3376623957 37°13.971' 035°38.106' 37°13'58" 035°38'06"
RDIMA 37SBS6963157686 33°02.000' 036°32.000' 33°01'60" 036°31'60"
REXAL 36SWD8194542727 34°43.400' 033°53.700' 34°43'24" 033°53'42"
RIMON 368XA3732767077 32°13.917' 034°27.450' 32°13'55" 034°27'27"
RUBIK 36SWD0746062326 34°54.200' 033°04.900' 34°54'12" 033°04'54"
RUDER 36SXD0271868445 34°57.200' 034°07.500' 34°57'12" 034°07'30"
SALIM 37SBV5609431355 35°29.750' 036°18.667' 35°29'45" 036°18'40"
SERMA 368WA1343781088 32°22.000' 033°08.570' 32°22'00" 033°08'34"
SOBOS 36SWD8631265133 34°55.500' 033°56.700' 34°55'30" 033°56'42"
SOLAB 368WD2936668839 34°57.700' 033°19.300' 34°57'42" 033°19'18"
SOLIN 36SXA0912194728 32°29.067' 034°09.683' 32°29'04" 034°09'41"
SUGAT 37SCB8897501240 37°03.050' 037°45.083' 37°03'03" 037°45'05"
SULAF 37SDT2325102035 33°27.300' 038°10.450' 33°27'18" 038°10'27"
SURUC 37SDBS910401997 37°03.800' 038°32.400' 37°03'48" 038°32'24"
SWIDA 37SBS7193522495 32°43.000' 036°34.000' 32°43'00" 036°34'00"
TARSU 368XF3582554015 36°37.320' 034°31.140' 36°37'19" 034°31'08"
TIGER 36SYG3193316543 37°09.993' 035°36.729' 37°09'60" 035°36'44"
TlROS 368XB2258385319 33°18.000' 034°19.000' 33°18'00" 034°19'00"
TOBAL 36SVC1912772666 34°05.500' 032°07.400' 34°05'30" 032°07'24"
TOSIE 368YG3953516708 37°09.967' 035°41.864' 37°09'58" 035°41'52"
TUNLA 37SBV3269275059 35°53.000' 036°02.333' 35°52'60" 036°02'20"
TUSYR 37SCA5546657141 36°38.933' 037°22.983' 36°38'56" 037°22'59"
VADUS 36SVE1452306995 35°18.150' 032°03.590' 35°18'09" 032°03'35"
VELOX 36SXC0026042356 33°49.000' 034°05.000' 33°49'00" 034°04'60"
VESAR 36SWE9167875059 35°54.933' 034°00.967' 35°54'56" 034°00'58"
W.POINT 36SVD0430132158 34°37.611' 031°57.360' 34°37'37" 031°57'22"
WUNSO 36SYG2024201342 37°01.949' 035°28.569' 37°01'57" 035°28'34"
ZOPIL 368YG3376623957 37°13.971' 035°38.106' 37°13'58" 035°38'06"
